durakid	durakadi	enlem	boylam	sira	guzergahid
1658	8. 858. CD- 864. SK KESİŞTİGİ YER.	39.86862109007818	32.813870920901536	1602	53
1789	9. 1164. CD- 1165. CD. KESİŞTİGİ YER.	39.873215451009244	32.81277468465578	1733	53
1790	11. 1164.CD-1195. SK KESİŞTİGİ YER.	39.8735489	32.81596200000001	1734	53
1791	12. 1204. SK. ORTASI.	39.8748057	32.81507869999996	1735	53
1792	13. 1204.SK-1212. SK KESİŞTİGİ YER.	39.8769156	32.81415100000004	1736	53
1793	14. 1204.SK-1208.SK KESİŞTİGİ YER.	39.8785974	32.81478859999993	1737	53
1794	15. 1222.CD- 1204. SK KESİŞTİGİ YER.	39.880235	32.8149717	1738	53
1795	16. GÖKKUŞAĞI CD.- 1222.CD KESİŞTİGİ YER.	39.8801791	32.81278240000006	1739	53
1796	17. GÖKKUŞAĞI CD.-1254. SK KESİŞTİGİ YER.	39.881166	32.812970800000016	1740	53
1797	18. 1246.SK- 1247. SK KESİŞTİGİ YER.	39.8851893	32.8148956	1741	53
1798	19. CEYHUN ATUF KANSU CD- 1245. SK KESİŞTİGİ YER.	39.8851844	32.81586160000006	1742	53
1881	21. BAKANLIK HİZMET BİNASI	39.91087658250629	32.79356737161902	1825	53
1370	1. 296.CD 341. SK KESİŞTİGİ YER.	39.96890459999999	32.764290099999926	1317	54
1371	2. 1297. CdD-1312. SK KESİŞTİGİ YER.	39.9818507	32.757254800000055	1318	54
1372	3. 1303.- 1304.SK KESİŞTİGİ YER.	39.9814653	32.7621163	1319	54
1373	4.İVEDİK CD- 927. SK KESİŞTİGİ YER..	39.9846491	32.775906899999995	1320	54
1374	5. VATAN CD- 959. SK KESİŞTİGİ YER.	39.9798068	32.77815720000001	1321	54
1375	6. VATAN CD..	39.9730809	32.776117699999986	1322	54
1608	7. 313 SK- YEŞİLAY CD KESİŞTİGİ YER.	39.966635	32.77611439999998	1555	54
1609	8.378.SK- 379.SK KESİŞTİGİ YER.	39.9652733	32.78145330000007	1556	54
1610	9. 382.SK- 381. SK KESİŞTİGİ YER.	39.9630255	32.78064219999999	1557	54
1611	10. 382.SK- 357.CD KESİŞTİGİ YER.	39.9618671	32.78200300000003	1558	54
1612	11. BAĞDAT CD-358.SK KESİŞT,İGİ YER.	39.9586858	32.78675780000003	1559	54
1738	12..BAKANLIK HİZMET BİNASI	39.910974	32.79266489999998	1682	54
1597	1. 109/1 SK- 1098.SK KESİŞTİGİ YER.	39.99266194542862	32.793483932293725	1544	55
1598	2. AKGÜVERCİN SK- 791. SK KESİŞTİGİ YER.	39.9878292	32.792368200000055	1545	55
1599	3. DEMİRDAĞI CD-EROL KAYA .SK KESİŞTİGİ YER.	39.9838563	32.79699460000006	1546	55
1600	4. GÜVENTEPE CAD.533. SK KESİŞTİGİ YER.	39.9762503	32.793827700000065	1547	55
1601	5. 357. CD- 366.SK KESİŞTRİGİ YER.	39.96936609999999	32.784855300000004	1548	55
1602	6. VATAN CD- 406.CD KESİŞTİGİ YER.	39.9664569	32.79133509999997	1549	55
1603	7. VATAN CD- 95. SK KESİŞTİGİ YER.	39.9642292	32.79764219999993	1550	55
1604	8. 95. SK.	39.95946180000003	32.79608239999993	1551	55
1605	9. MAHMUDİYE CD- 25 MART MAH MUHTARLIĞI ÖNÜ.	39.9550917	32.793912999999975	1552	55
1606	10. İSTİKLAL CD- ORUÇ REİS SK KESİŞTİGİ YER.	39.9537921	32.800728299999946	1553	55
1737	11. BAKANLIK HİZMET BİNASI	39.9111262	32.79264869999997	1681	55
530	1.GENÇLİK CD- İLLER SOKAĞIN KESİŞTİGİ YER.	39.9315826	32.837437499999965	504	56
533	2. AKDENİZ CD- İLERİ SK KESİŞTİGİ YER.	39.9244714	32.840509699999984	507	56
534	3.TAŞKENT CD-69 SK KESİŞTİGİ YER.	39.9204544	32.8319391	508	56
535	4. TAŞKENT CD	39.9230625	32.83092910000005	509	56
536	5. TAŞKENT CD-54.CD KESİŞTİGİ YER.	39.9260619	32.829929499999935	510	56
537	6.PROF MUAMMER AKSOY CD-58. SK KESİŞTİGİ YER.	39.930877	32.82653299999993	511	56
